year,month,day,hour,postcode,rating
2015,Dec,12,2,BD24,3
2015,Nov,21,1,BN21,11
2015,Nov,21,1,ME15,11
2015,Nov,21,1,ME16,6
2015,Dec,12,6,NE34,4
2015,Dec,12,6,DH4,11
2015,Dec,12,5,DH4,11
2015,Dec,12,5,NE4,4
2015,Nov,21,1,TN35,3
2015,Nov,21,1,BN21,5
2015,Nov,21,1,BN41,3
2015,Nov,21,0,SM3,3
2015,Nov,21,0,EN9,11
2015,Nov,21,0,W4,1
2015,Nov,20,14,BT26,5
2015,Nov,20,12,OL1,3
2015,Nov,18,12,BT26,2
